gen,q_value,Log2FC,sign
MMP7,0.008529685380148644,2.3547875843744697,UP
IGKV3-11,0.008498455352109356,3.794045162011672,UP
NR2F1-AS1,0.008459953452186513,1.0696408257834054,UP
LAX1,0.008455801540746231,2.0330058848443113,UP
SAMD9L,0.008386231863498737,1.1993373731500145,UP
TEAD2,0.008386231863498737,1.1329726543549736,UP
RNASE6,0.008386231863498737,1.2801793830593176,UP
CD33,0.00837423166686926,1.7206840933699836,UP
SLC15A2,0.008357165751956845,1.008792749028953,UP
LHFPL6,0.008357165751956845,1.007851242014203,UP
SFRP2,0.00826490256768625,1.4093726230390269,UP
PYGL,0.008180828469935696,1.1430545537983443,UP
AGT,0.008172560717736537,1.3100279804690649,UP
PLA2G2A,0.008077951518340273,2.617587376255924,UP
PPP1R16B,0.00804354230096876,1.2515701645601807,UP
FAM102B,0.008040536422043129,1.0348407294306916,UP
EBF1,0.007942659472692086,1.1119288676973456,UP
PECAM1,0.007766600372697621,1.083316264439082,UP
CXCR4,0.007667628423522164,1.5217618741241583,UP
POSTN,0.007618795434243454,2.2815670013258593,UP
HLX,0.007524909465625865,1.377240324060091,UP
IL18,0.007518251456490861,1.5035767801083961,UP
COL21A1,0.007441773888771192,1.185212764332278,UP
EMP1,0.007440308904927691,1.1518286280007424,UP
SERPINF1,0.007306516309772169,1.1213755241379073,UP
PLEKHG1,0.00720610757527923,1.1445896352101428,UP
CPA3,0.0071809098004297625,1.3111121243496102,UP
SRGN,0.007149148537753788,1.3991499353227816,UP
TSPAN11,0.007149148537753788,1.574706545287061,UP
NINJ2,0.00704855277194085,1.5499212654015158,UP
MUC13,0.00704855277194085,1.4252800108436467,UP
LAIR1,0.00704855277194085,1.5505744242877728,UP
RGS10,0.00696336437454353,1.4429011132457679,UP
PDLIM3,0.006925626535608235,1.2296668502296983,UP
OLFML3,0.006877089330255278,1.0275723939543373,UP
FOXF1,0.006860693245546593,1.263163024426099,UP
DIPK2B,0.00676004093439271,1.3126866733364195,UP
THBS2,0.006712344136661306,1.292338449792439,UP
BNC2,0.006535084432065518,1.3406114995713174,UP
TRAF3IP3,0.006481622138163086,1.2657242587447812,UP
COL8A2,0.006425385498559088,1.3991820010716611,UP
NKD1,0.006317969196234076,1.0982119937955752,UP
SEMA3G,0.006288651887211994,1.2236387094592782,UP
AKR1B10,0.006268280282668772,3.7151213678181403,UP
PODXL,0.006268280282668772,1.0439075497349588,UP
TRBC1,0.0060968278618473305,1.7949706265253664,UP
CD300LF,0.00606577224414184,2.2041008027567717,UP
C11orf96,0.006064017676670331,1.5886850315212422,UP
F12,0.0059755225431323685,1.0866209293663516,UP
APOL1,0.0059755225431323685,1.0088211148177928,UP
MEF2C,0.005908872184367158,1.1331016537928966,UP
AC097625.1,0.005908872184367158,-1.6144582648552543,DOWN
EFEMP1,0.005893294030705394,1.1622686118269003,UP
